State,Area name,no_hs_diploma,hs_diploma,some_college,bachelors_up
GA,Rockdale County,10.6,29.0,32.5,27.9
GA,Schley County,13.6,35.6,35.6,15.3
GA,Screven County,16.6,38.0,30.7,14.7
GA,Seminole County,14.1,39.8,30.3,15.8
GA,Spalding County,16.2,39.1,26.1,18.6
GA,Stephens County,16.1,40.3,27.3,16.3
GA,Stewart County,29.0,34.8,20.7,15.4
GA,Sumter County,16.7,36.8,27.1,19.4
GA,Talbot County,18.1,41.7,26.1,14.1
GA,Taliaferro County,17.6,45.2,28.6,8.6
GA,Tattnall County,22.1,38.9,24.6,14.5
GA,Taylor County,23.8,37.8,22.9,15.5
GA,Telfair County,29.6,44.6,18.7,7.1
GA,Terrell County,20.8,36.7,31.8,10.7
GA,Thomas County,13.2,30.7,30.8,25.4
GA,Tift County,16.0,33.5,32.7,17.8
GA,Toombs County,17.7,33.2,32.3,16.8
